Movie name;Overall_Rating;Review_Title;Review_Date;Verified;Review_Text
The Fast and the Furious: Tokyo Drift.;8;Much better than the others.;13.06.2006;True;"Got a free screening pass to see it 6-12, saw it with some car buddies, the dork I am took notes.

This movie had more semblance of a plot than the rest of the franchise, the action stayed fresh and actually flowed with the plot, and the characters actually had motivation this time! There weren't any HUGE glaring inaccuracies (other than daddy throwing sonny the keys to a car with NO ENGINE in it...) The three cameos in the film were well placed, though a bit campy at the very end. The cars and action sequences were amazingly choreographed, one even leaving my whole theatre clapping for the protagonist.

I give 8/10 because of low expectations, and being totally blown away when it was much better than I expected."
The Fast and the Furious: Tokyo Drift.;1;The Slow and The Stupid: Part III;30.07.2006;True;"I enjoyed the first two films, which were better than average popcorn flicks, but this (almost) completely unrelated crapfest is a complete waste of your filmgoing dollars. It's ridiculous and it's boring.

The main character, Sean, is a 34 year old street racer who has apparently been held back in school....for seventeen years. He's the oldest high school student on Planet Earth. In fact, in a remarkable feat of human biology, he is about the same age as his mother and father! He also has the most improbable and unconvincing Southern US accent imaginable.

After smashing up some cars and destroying an entire housing development, he is sent to live in Japan with his Navy dad (who apparently fathered him at the age of about 9). For reasons never explained, his father is not allowed to live on the Naval base, but has to reside in a minuscule Japanese slum and Sean (yup, still in high school, despite middle age) doesn't go to the Navy base school, where instruction would be in English, but instead is enrolled at a private Japanese academy despite the fact that he knows not a single word of Japanese. Apparently no one, not even his teachers there, seem to think this will be a problem.

Naturally, the first girl he sees in class is the only Caucasian student in the entire school, if not the entire city, and so she becomes the (very boring) love interest. He also meets the only African American student. Obviously these two must be his best friend and girlfriend since they are the only non-Asians around.

Subsequently, he gets into ""drift racing"", something I never heard of before and I can see why. It's not very interesting to watch. Apparently it consists of taking a small import vehicle with front wheel drive, and while going fast through a sharp turn, allowing the car to fishtail. While this seems possible enough (for a skilled stunt driver on a closed track, per the credits), I do wonder if it is possible to do this continuously while driving, i.e., to essentially drive sideways almost the entire time. Seriously, I doubt this. It's also not especially fast, which makes it fairly dull to watch.

Also, the big ""final race"" occurs, and the hero's dad (amazingly) has the body of a classic 60s Mustang in his garage (a somewhat unlikely situation in Japan -- not just the car, but the idea that he has a entire garage for this purpose in one of the world's most expensive and crowded cities). So Sean and his friends take the engine out of one of the Japanese cars he has wrecked earlier in the film, and in a few hours they manage to install this into the 60s muscle car. HELLO? Is this possible? I admit I am not a mechanic or specialist, but it does not seem logical that you could retrofit a Japanese front wheel drive engine into a vintage 60s American rear wheel drive car....if it could be done AT ALL, it seems to me that it would take a long time and involve a lot of custom parts. That's not even considering that they drive on the opposite side of the road in Japan, or that a 60s era car would be much heavier than a current model Japanese car.

There are too many other absurdities to list, along with the inclusion of the Yakuza (Japanese mafia). I wish I could say that ""Toyko Drift"" was campy, or that you could have a good time just laughing at the many absurdities, but actually its fatal flaw is that it is extremely dull. The least you would expect from it, title- wise, is that there would be lots of exciting racing -- and there isn't -- and that the hero would probably have a hot, sexy Japanese girlfriend and sexy love scenes -- and there is absolutely nothing in this regard (as he's barely hooked up with the only Caucasian woman in his high school). The film is entirely devoid of sex appeal, you could show it to a convention of Mormons.

SPOILER ALERT Because it's so dumb and utterly lame, I am alerting anyone (who has seen the TV ads) that Vin Diesel does appear, in his role from the first film, for a few seconds at the very end. It's stupid and it's gratuitous, and it says something terribly sad about both this film, and Mr. Diesel's career (that he was able to be compelled to appear, even uncredited). This is a franchise with every ounce of the life juice sucked out.

Here is hoping that they never, ever consider making ""Fast & Furious IV""."
The Fast and the Furious: Tokyo Drift.;5;The Fast and the Furious: Tokyo Drift is far better than I expected - but I had low expectations. Enjoyable but not ;21.06.2006;True;"I was quite surprised by The Fast and The Furious: Tokyo Drift. Of course, I expected it to be a pile of steaming garbage, particularly with the formula of increasingly dodgy sequels. So when I went to see it with some friends, I had obvious misgivings. These misgivings, or at least the worst ones, such as the movie being unbearable to even look at, were fortunately unfounded. I kept my eyes on the movie the whole time, mainly because of the souped cars, but the fact that I went through the movie without flinching (a lot, except at some of the bad dialogue that was prevalent), says quite a lot. Maybe my view of The Fast and The Furious: Tokyo Drift is heightened by the fact that I cracked a few jokes during the movie.

Now down to business. Sean, a 'dude' who loves to race at high speeds for no apparent reason, is sent to Tokyo to live with his military dad and ends up being drawn to the racing circuit again, witnessing a new style of race called 'drift' (as seen in Need For Speed Underground, to those that don't know). Sounds stupid? Well, it is, the casual viewer can detect a plothole or two from even reading those two lines. To go on, except to state that Sean ends up making friends with a guy named Han, is pointless. I will admit that no-one looks for a good plot in a Fast and the Furious movie, but still, the less said, the better.

The dialogue, as I stated, can be funny - because of its stupidity. This is shown by one piece of dialogue where some guy asks Sean: ""You know what DK stands for?"" and Sean replies ""Donkey Kong"". At least its original, I guess.

The acting is OK - far from turgid, which I expected it to be in the first place. The guy who plays Han is surprisingly good, going through the movie without looking as if he was hired from a nearby sushi bar. Brian Tee as DK is a bit of a joke, he is more comedic than menacing. Lucas Black is OK as Sean, but his Southern accent makes his character more irritating to watch. The love interest does well as eye candy. That's about all that matters I guess.

The most important part of The Fast and the Furious is inarguably the racing sequences and their overall effectiveness. I will admit that the sequences themselves are well-filmed and eye catching, highlighting the cars, as they should. However, except in a few fleeting moments, they are not as enthralling as they should be and this is one of the most disappointing aspects of The Fast and The Furious: Tokyo Drift. The final confrontation, for me, is pretty good to watch, but only arouses the senses once in a while.

Time didn't drag though, which is a clear sign that The Fast and Furious is indeed quite watchable, despite its other pre-eminent faults. I admit that I didn't really get bored during the film, which may lead to my rose-tinted view of it (compared to my original perception of what it would be like).

So let me summarise my thoughts: ""Didn't expect much, got more than I bargained for."" The acting is satisfactory (for a racing film, otherwise it would more or less suck), the plot and the dialogue are predictably terrible, the racing sequences are satisfactory and the cinematography is somewhat effective, with frequent close-ups of the cars. What compels me to give The Fast and The Furious a pass grade is the fact that it is, like I said, quite watchable. However, it is still little more than satisfactory, so it's rating cannot therefore rise above:"
The Fast and the Furious: Tokyo Drift.;7;Surprisingly good - Sung Kang steals the show;14.06.2006;True;"I'm getting the feeling that the majority of reviews here as of June 14th are bogus. Why write a review if you've only seen the trailer for the film? Anyway, I had the opportunity to see this movie yesterday. Yeah, this is the one of those film series people will hate before seeing. It's over the top, has cheesy dialogue, and has an unlikeable protagonist. With that said, it's actually pretty entertaining, and isn't all that bad.

We are introduced to Sean Boswell (Lucas Black), a high school kid who can't seem to find his niche in life. He's moved from town to town with his divorced mother, and getting into problems with the law, before finding himself in Southern California. The California scenes pay homage to Justin Lin's earlier film, Better Luck Tomorrow, almost feeling like an extension of that film. We see the crowds of students in the courtyard, almost peripheral to a particular point in time. Moving to California doesn't change anything, and Sean, the outsider, finds himself racing Clay (Zachery Ty Bryan, from Home Improvement), a rich kid who has it all, including a brand new Dodge Viper.

In trouble with the law yet again, Sean finds himself moving to Japan, for reasons that aren't particularly clear. We don't know exactly why he *had* to move; however, it doesn't really matter anyway.

Sean continues to find himself as an outsider. From his distant father, to his language barrier, to being unfamiliar with traditional customs. Unlike other particular American films, the culture of Japan was portrayed in a positive light. This was particularly refreshing, as the food jokes, Engrish jokes, height jokes, etc. have become very tiresome over the years.

Sean meets Twinkie (Lil Bow Wow), and Han (Sung Kang), the latter of which appears to be the same character from Better Luck Tomorrow. Both Twinkie and Han serve as guides or mentors to Sean, as he becomes more familiar with Japan, school, drifting, and its associated group. In retrospect, Twinkie seems like an unnecessary character, and quickly gets shelved to Sung Kang's Han, who steals the show like a pimp.

Sean also meets, and is attracted to Neela (Nathalie Kelley), who is the girlfriend of DK (Brian Tee). DK is a nickname for ""Drift King."" Sean quickly realizes this as he loses badly to him in his first race in Japan (and smashing up Han's S15 badly). The altercation between Sean and DK heats up leading to the climax of the film.

Sean Boswell is an unlikeable character. His mannerism is interesting during the California scenes and you actually do get to like him, however he quickly outwears his welcome. From his unjustified temper, to his grating southern accent, Han becomes more of the likable protagonist.

The dialogue was cheesy as hell too (remember the ""I'm free"" line from the first one? This is worse - the moonlight drifting scene is embarrassingly bad).

Character development is too hurried at times, much like this review.

As with Kill Bill, Sonny Chiba is as charming as ever, this time playing a Yakuza boss, who happens to be the uncle of DK.

Now, the racing scenes were actually not that bad. Compared to the outlandish effects of the first two FF films, Tokyo Drift is pretty understated.

Racing-wise, this was a vendor-fest. 350Z's (VERY prominently displayed), RX-8's, and an EVO. Other than that, there was an R34 GT-R, S15, and the Veilside RX-7. That's really about it (with the obvious exception of the Mustang). I think I saw a glimpse of an AE86 hatch.

Will it make people drift in the parking lot leaving the theatre? Yes. In fact, I saw some guy in a Camry attempting to do so.

Will it spark interest in the vendor-sponsored cars? Probably.

Will it increase resale value of your S13 or AE86? Probably not.

Finally, there are two notable cameos in this film (among others). The first cameo has to do with ""DK"" (not the film character). The second cameo ties the film to its predecessor. Both appearances were pretty well done and drew laughter from the crowd."
The Fast and the Furious: Tokyo Drift.;7;True to the Title!!!;04.06.2006;True;This movie was Fast. This movie was Furious. And all in an okay way. Being a major fan of the franchise, I was eager to see how the third would turn out. Knowing someone in the movie biz, who worked on the movie, Neal H. Moritz (His credits being the producer of the first Fast & Furious Movies, Vin Diesel's xXx, xXx State of the Union, SWAT, and more) I got to be the first of many to go to the World Premiere. The movie was entertaining, not the greatest storyline, but this movie had the most intense and exhilarating car chases, probably ever put on the big screen. Lucas Black, the lead in this movie, playing the cool, car maniac, did a good job to fill the shoes Paul and Vin left behind. If you are a fan of the first two, I do suggest this movie to you. And even if you're not a fan, but you are into the Drift world of Car racing, this is your movie. In my opinion, The FAST & FURIOUS movies, are some of my top favorite movies of all time. So I must say that even with a somewhat weak storyline, this movie did earn the title FAST & THE FURIOUS.
The Fast and the Furious: Tokyo Drift.;1;Worse than the worst movie ever;16.06.2006;True;We just saw this movie in Kansas City and to say that it was a huge disappointment does not begin to tell how bad it was. The race sequences were okay, but there is absolutely no point to the dialog or plot. This movie is unbelievably demeaning to women, starting with the blonde babe at the beginning who offers herself as the prize to the winner of the race between the Lucas Black character and the ex-kid from Home Improvement, and continuing with the Janet Jackson look-a-like who has nothing to offer but coy smiles and short skirts (not that there's anything wrong with that). What's worse is the fact that Lucas Black is cast as a 17 year old, when he looks like he's already in his thirties, and the Yakuza uncle character who looks like he's doing a very weak imitation of Don Fanucci from Godfather II. We were hoping for a little summer entertainment, a la Transporter 2, but what we got instead was too little action and too much posing. Whoever wrote the screenplay for this piece of garbage should be blacklisted from Hollywood. In fact, to say that this was worse than the worst movie ever gives it too much credit. It is the worst movie imaginable.
The Fast and the Furious: Tokyo Drift.;8;Not a bad film considering it was a Part 3;02.11.2006;True;"Usually when a film has a Part III, it leaves you with, ""Why did they make a third film?"" Case in point, ""Smokey & The Bandit"". Now I am dating myself if that's the only film I can come up with when it comes to trilogies. But car movies are seldomly done in trilogies. Star Wars, The Godfather, Lord of the Rings and Back to the Future are the only exceptions that have worked in the past because there's an on-going story line.

Tokyo Drift was a good film. Good plot line (if you disagree, then you're a ""Too much to think"" film-goer, stay with chick-flicks then). Good action. And of course, cool cars. The fact that it strayed away from Part I & II was a good idea. And film director, Justin Lin did an great job getting his vision to film. The mounted camera on a super-fast go-cart gave some spectacular shots.

It's a good escape film with the ""new kid in town, gets beat up or loses in some sort of competition, learns from a local to be better then wins in the end."" But for a trilogy film it's excellent compared to other Part III films that have been released."
The Fast and the Furious: Tokyo Drift.;9;A girl's point of view;14.06.2006;True;I was fortunate enough to see an advance screening of the film last night. I'm not usually one to seek out action films but this one seemed different. First of all, the setting was intriguing. Secondly, trailer made it out to be a fun summer flick. And guess what? It delivers. I would strongly recommend this movie to be seen in a theater as opposed to DVD for one huge reason: the audience. I can't remember the last time I was in a movie theater laughing, cheering, and gasping with everyone else. That environment is what these movies are made for. I loved the first fifteen minutes of the film. From the creepy pep rally to the metal detectors, the film was able to slip a little social commentary. The first race in the construction site was not only amazing but a great comment on capitalism. Even if the rest of the film doesn't quite live up to the beginning it doesn't matter. The film flows effortlessly and what would have been contrived just feels real. I know these films get all the feminists all up in arms but hey, beautiful girls exist in this world and the way it's shot it never feels exploitive. Enough of the politics. Grab a few friends and try to watch it with a sellout crowd. You won't be disappointed.
The Fast and the Furious: Tokyo Drift.;8;No rats in buckets, no CGI, just an entertaining flick featuring excellent car racing;13.04.2017;True;"Branching away from any original cast members of the first two films, thankfully, Tokyo Drift provides a refreshingly new look to the franchise.

Tokyo Drift is possibly my favourite of the series, or at least its up there with the first film; it only has a few problems that can be swept under the ""It's Fast and the Furious, what do you expect"" carpet. The story follows American ""teenager"" Sean Boswell (Lucas Black) whose reckless driving lands him prison time, but to avoid this he moves in with his father in Tokyo. He attempts to move on a dangerous rival's girl, and must become a competitor in the street racing's drifting scene.

I say ""teenager"" as that's what IMDb says, and he does go to school in the movie… but honestly, he's the oldest teen I've ever seen. Along with every other ""teen"" in this movie! While I talk negatives, the majority of the film is set in Tokyo yet 95% of the dialogue is English and Sean has a knack of meeting every foreigner in the city. I don't mind this so much, but I fully expect all of the Japanese characters to speak Japanese, especially when Sean isn't present!

But, unlike 2 Fast 2 Furious (choke) this film actually cares for its characters and their personalities (as Sean says early on: ""It's not about the ride, it's about the rider"") from Sean's fish-out-of- water acceptance, to his mentor Han's closet of skeletons. The villain isn't ridiculous either, his uncle is part of the Yakuza and he has a serious ""king of a little hill"" problem. Again unlike 2 Fast 2 Furious (gag) the cars have never looked better, sleek and refined and the drifting action is spectacular, especially when synchronized. Plus, no CGI, just skilled professional drivers, making the film worth seeing solely for the racing.

There's no stupid Tyrese Gibson mugging at the camera, no rats in buckets, no CGI, just an entertaining (albeit poorly localized) flick featuring excellent car racing and professional stunts."
The Fast and the Furious: Tokyo Drift.;10;Enjoyable, much better than first two;15.06.2006;True;"I just came home from the drive in, i was looking forward to this movie since i have read some good reviews about it and also that I'm a car freak. A lot of people have been bashing this movie without even seeing it and bashing the idea of putting a RB26DETT Motor into a Mustang, i agree its not right, but it is just a movie and if you can get past that then you will enjoy it...anyone who loves the sound of a tuned skyline will love it. Keiichi Tsuchiya makes an appearance in this movie and so does Sonny Chiba, but i wont spoil the other cameo.

Justin Lin does a good job, the movie itself has great action scenes, awesome drifting and car choreography/stunts, the cars look and sound awesome, there are a couple of one liners that make me laugh (""Can i have a copy of that?"") you will know what this means when you see it and the babes....the babes are just gorgeous. Overall its a fun and enjoyable movie, far better than the first two.

Car lovers will like the movie but for everyone else....don't bash it till you've seen it, you might be pleasantly surprised."
The Fast and the Furious: Tokyo Drift.;1;What?!??!?!;26.06.2006;True;Whoever voted for this so highly needs to be educated. The plot was absolutely horrible. How is a race going to settle the conflict? How did a busy Tokyo street completely clear up because he honked his horn. How did he learn to be the best at drifting in a few days when he was no where near a good racer as is. The whole crowd was outraged and laughing at the idiocy of the writers at this part, among many others. There was no depth to any of the characters. We barely saw any nice cars, although the drifting was nice. The whole movie was not tied together at all. I don't want to spoil anything so I'll just leave it at this. Don't pay to see this movie. You will feel gipped.
The Fast and the Furious: Tokyo Drift.;8;Much better than the other 2;27.06.2006;True;Where do i start with this film? When i first heard this film wasn't going to have any of the original cast in it i felt rather disappointed but my opinion has totally changed after seeing it for the first time.The cast in it are great.Lucas plays his part well as does bow wow and the guy who plays Han. The things that stood out for me were the racing scenes mainly.There are a lot more than there were in the other 2 films and in my own opinion the races in this third are a lot better than any in the first two. The story isn't half bad either.I actually prefer this one to the 2nd film because of that as well as the racing. This is definitely a must see for all fans of the other two films though.
